ID,shell,core,mOFC
1,-0.001171900170504,-0.001494599938813,0.006221045983363
2,0.009474599637671,0.015318495217082,0.01032263002443
3,-0.008134139177492,-0.018239318724938,-0.008508070022799
4,0.000176451773531,-0.005650930292258,0.007437560956036
5,0.006968301621821,0.014903020844689,-0.003279458884869
6,0.009500511871211,0.006838214889617,0.002161204828801
7,0.023120566146352,0.029496812404045,0.019031386719937
9,-0.001781356841869,-0.003943151748,6.2330639180304E-05
10,0.016466171643958,0.00642371154729,0.013222028966993
11,0.00377039498864,0.008872363827845,0.008733726892387
12,-0.003270015288542,-0.006109121840058,0.016322164711627
13,0.005172463354839,-0.004361447139578,0.025945931736549
14,-0.000418318242029,0.010389028973742,0.012261887712984
15,0.007334652076447,-0.029690361585987,0.011488881427795
16,0.017846279729948,0.050130907919836,0.027229387754977
17,0.006053570990055,0.010274580921205,0.014178701136685
18,0.032605395647996,0.018196058320417,0.025882755279202
20,0.009640089044871,0.020204413503585,0.028217912016606
21,0.001776710686576,-0.00597288491309,0.015737673997964
22,-0.020765733009029,-0.001112481949924,0.018066525321708
23,-0.015327922570834,0.016341689916876,0.023476371552203
24,0.009138308576375,-0.002624341821345,0.032695804394528
25,0.010457486448049,0.004350359696542,0.015257622295229
26,0.008615092225177,0.004263854356223,0.006271928090097
